//////////////////////
// EXAMPLE LOG FILE //
//////////////////////
//
//Serial Connection Established.
//Accelerometer connection failed.
//
//Time  Speed   E-RPM   A-RPM
230	0	0	0
432	0	0	0
633	0	0	0
835	0	0	0
1036	0	0	0
1238	0	0	0
1439	0	0	0
1640	0	0	0
1841	0	0	0
2043	0	500	0
2244	0	800	0
2446	0	1600	0
2647	0	1700	0
2848	0	1800	0
3049	0	1800	0
3250	0	1800	0
3451	0	1800	0
3652	1	2000	50423
3853	3	2300	123546
4054	5	2600	165432
4256	7	2800	194332
4458	10	3000	218465
4659	13	3200	240358
4860	16	3300	263451
5061	18	3400	281365
5262	20	3500	300180
5463	22	3600	321305
5664	24	3800	342254
5865	25	3800	348000
6066	24	3200	349516
6268	22	2700	319846
6469	15	2100	253164
6671	9	1700	203165
6872	0	1800	0
7073	0	1800	0
7274	0	1800	0
7475	0	0	0
7676	0	0	0
7877	0	0	0
8078	0	0	0
8279	0	0	0
8481	0	0	0
8683	0	0	0
8884	0	0	0
